title,company,technologies,job,location,salary,min_salary,max_salary,netto,period,salary_avg,is_senior
Senior Data Engineer (DataBricks + SQL + Python),Scalo Sp. z o.o.,"SQL, Python",data engineer,Wrocław,25 200 zł netto (+ VAT) / mies.,25200.0,25200.0,netto,mies,25200.0,1
Senior Data Engineer (DataBricks + SQL + Python),Scalo Sp. z o.o.,"SQL, Python",data engineer,Wrocław,150 zł netto (+ VAT) / godz.,25200.0,25200.0,netto,mies,25200.0,1
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data scientist,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.,23000.0,31500.0,netto,mies,27250.0,0
Senior Data Engineer,ITP IT PERFORMANCE sp. z o.o.,"Python, Snowflake, DBT, GitLab, SQL, Git, AWS, Airflow, AutoMateNow",data scientist,Warszawa,125–155 zł netto (+ VAT) / godz.,21000.0,26040.0,netto,mies,23520.0,1
Senior Data Engineer (Azure / Databricks),GETINDATA POLAND sp. z o.o.,"Python, Scala, Java, Databricks, Kafka, Git, Microsoft Azure, Docker, Terraform, Azure DevOps",data scientist,Warszawa,160–200 zł netto (+ VAT) / godz.,26880.0,33600.0,netto,mies,30240.0,1
Data Scientist,SQUARE ONE RESOURCES sp. z o.o.,"Python, SQL, PySpark, Azure Cloud, Databricks",data scientist,Warszawa,100–130 zł netto (+ VAT) / godz.,16800.0,21840.0,netto,mies,19320.0,0
Senior Data Scientist,KUBO,"Python, LLM, PyTorch / TensorFlow / Keras",data scientist,Gdańsk,100–130 zł netto (+ VAT) / godz.,16800.0,21840.0,netto,mies,19320.0,1
Data Analyst - Data Architect,CadEx Digital s.r.o.,"SQL, Sybase, Sybase Power Designer, 3NF",data scientist,Bratislava,15 100–19 500 zł brutto / mies.,10570.0,13650.0,netto,mies,12110.0,0
Senior Data Scientist,Adform Sp. z o.o.,"Python, SQL, git, Docker, C#, Java, C, C++, Scala",data scientist,Warszawa,22 400–33 600 zł netto (+ VAT) / mies.,22400.0,33600.0,netto,mies,28000.0,1
Data Engineer,STX Next S.A.,"PostgreSQL, Python, Azure SQL, ETL, SQL, NoSQL, Snowflake Data Cloud, Apache Flink, Git, Docker",data scientist,Poznań,16 128–26 880 zł netto (+ VAT) / mies.,16128.0,26880.0,netto,mies,21504.0,0
Data Scientist,EndySoft,"Python, R, TensorFlow, PyTorch, Microsoft Power BI, Tableau, Matplotlib, Spark, Hadoop, Databricks",data scientist,Warszawa,14 000–17 500 zł netto (+ VAT) / mies.,14000.0,17500.0,netto,mies,15750.0,0
Senior Data Engineer,ITligent Group Sp. z o.o.,"Azure Data Factory, Snowflake Data Cloud, Spark, GCP Data Flow, Apache Spark, Hadoop, SQL, Azure Databricks",data scientist,Warszawa,20 000–30 000 zł netto (+ VAT) / mies.,20000.0,30000.0,netto,mies,25000.0,1
Data Engineer (AWS & Python),CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, AWS",data scientist,Warszawa,180 zł netto (+ VAT) / godz.,30240.0,30240.0,netto,mies,30240.0,0
Senior Cloud Data Engineer,Team Connect Sp. z o.o.,"SQL, NoSQL, Python, DataBricks, Snowflake, Microsoft Azure, PySpark",data scientist,Warszawa,25 600–28 800 zł netto (+ VAT) / mies.,25600.0,28800.0,netto,mies,27200.0,1
Data Analyst,EndySoft,"SQL, Microsoft Power BI, Tableau, Looker, Python, R",data scientist,Warszawa,14 000–17 500 zł netto (+ VAT) / mies.,14000.0,17500.0,netto,mies,15750.0,0
Data Analyst (Anaplan),7N Sp. z o.o.,"SQL, Microsoft Excel",data scientist,Warszawa,21 840–28 560 zł netto (+ VAT) / mies.,21840.0,28560.0,netto,mies,25200.0,0
